State,County,BlackPerc
TX,Hardeman County,6.1
OH,Ross County,6.1
NY,Wyoming County,6.1
TN,McNairy County,6
MO,Clay County,6
MO,Buchanan County,6
TN,Bledsoe County,6
IN,Hendricks County,6
TX,Dickens County,6
FL,Walton County,5.9
PA,Mercer County,5.9
TX,Collingsworth County,5.9
IA,Johnson County,5.9
NC,Alexander County,5.9
IA,Des Moines County,5.9
TX,Hale County,5.9
VA,Bristol,5.9
MO,Randolph County,5.9
CA,Fresno County,5.9
NC,Lincoln County,5.8
CA,San Francisco County,5.8
KY,Scott County,5.8
KY,McCreary County,5.8
KS,Montgomery County,5.8
IL,Massac County,5.8
OK,Hughes County,5.8
VA,Patrick County,5.8
AZ,Maricopa County,5.7
MN,Dakota County,5.7
FL,Martin County,5.7
FL,Saint Johns County,5.7
MN,Olmsted County,5.7
FL,Hernando County,5.7
NY,Broome County,5.7
TX,Hardin County,5.7
FL,Gilchrist County,5.7
KY,Lyon County,5.7
OR,Multnomah County,5.7
MO,Howard County,5.6
MI,Gratiot County,5.6
GA,Echols County,5.6
CA,San Diego County,5.6
FL,Pasco County,5.6
CO,Lincoln County,5.6
PA,Huntingdon County,5.6
MA,Middlesex County,5.5
IL,Livingston County,5.5
MO,Butler County,5.5
IN,Floyd County,5.5
KY,Caldwell County,5.5
TX,Reeves County,5.5
OH,Jefferson County,5.5
MN,Anoka County,5.4
NY,Seneca County,5.4
IL,McDonough County,5.4
MI,Cass County,5.4
CT,Middlesex County,5.4
WI,Dane County,5.4
AK,Fairbanks North Star Borough,5.4
GA,Oconee County,5.4
VA,Wise County,5.4
VA,Buena Vista,5.3
TX,Foard County,5.3
MA,Worcester County,5.3
VA,Pulaski County,5.3
IL,Lee County,5.3
KY,Nelson County,5.3
VA,Falls Church,5.3
WV,Summers County,5.2
TX,Terry County,5.2
IL,DuPage County,5.2
TN,Franklin County,5.2
TX,Gray County,5.2
KY,Taylor County,5.2
KY,Woodford County,5.2
MO,Saline County,5.2
KS,Atchison County,5.2
NY,Columbia County,5.2
TX,Nolan County,5.2
MO,Marion County,5.2
TX,Goliad County,5.2
VA,Clarke County,5.1
TX,Scurry County,5.1
TX,Cochran County,5.1
KS,Pawnee County,5.1
WI,Rock County,5.1
TX,Lamb County,5.1
TX,Donley County,5.1
KY,Clark County,5.1
VA,Warren County,5.1
KS,Ellsworth County,5.1
GA,Haralson County,5.1
NC,Caldwell County,5.1
TN,Hickman County,5.1
WV,Cabell County,5.1
FL,Sarasota County,5
TX,Wood County,5
VA,Bath County,5
KS,Johnson County,5
IN,Wayne County,5
KY,Muhlenberg County,5
KY,Daviess County,5
NJ,Cape May County,5
MO,Johnson County,4.9
TX,Ward County,4.9
TX,Live Oak County,4.9
PA,Luzerne County,4.9
TX,Montgomery County,4.9
KY,Kenton County,4.9
IL,Crawford County,4.9
IN,Tippecanoe County,4.9
TX,Ector County,4.9
MI,Ionia County,4.9
AZ,Pinal County,4.9
OK,Cleveland County,4.9
KY,Hart County,4.8
IN,Miami County,4.8
VA,Alleghany County,4.8
PA,Lancaster County,4.8
NV,White Pine County,4.8
OK,Kiowa County,4.8
TN,Bradley County,4.8
PA,Fayette County,4.8
IL,Fayette County,4.7
IN,Sullivan County,4.7
KY,Graves County,4.7
WV,Fayette County,4.7
AZ,Cochise County,4.7
PA,Lycoming County,4.7
MO,Callaway County,4.7
MO,Saint Charles County,4.7
MA,Bristol County,4.7
KY,Madison County,4.7
OK,Seminole County,4.6
AR,White County,4.6
TX,Haskell County,4.6
AL,Franklin County,4.6
VA,Frederick County,4.6
TX,Tom Green County,4.6
KS,Labette County,4.6
KS,Douglas County,4.6
SD,Minnehaha County,4.6
NV,Mineral County,4.6
AL,Cherokee County,4.6
VA,Rappahannock County,4.6
OH,Portage County,4.5
MI,Gogebic County,4.5
MO,Saint Francois County,4.5
TN,Williamson County,4.5
OK,Beckham County,4.5
NE,Sarpy County,4.5
GA,Walker County,4.5
NY,Clinton County,4.5
NC,Wilkes County,4.5
TN,Hamblen County,4.5
IA,Linn County,4.5
NC,Polk County,4.5
TX,Franklin County,4.5
AR,Sevier County,4.5
NJ,Warren County,4.5
TX,Crosby County,4.4
KY,Oldham County,4.4
GA,Whitfield County,4.4
NC,Avery County,4.4
KS,Graham County,4.4
TX,Hockley County,4.4
TN,Dickson County,4.4
TX,Nueces County,4.4
MN,Nobles County,4.4
GA,Gordon County,4.4
TX,Kleberg County,4.4
NY,Tompkins County,4.4
NM,Lea County,4.4
TX,Pecos County,4.4
MN,Washington County,4.3
NE,Dakota County,4.3
TX,Kenedy County,4.3
KY,Clay County,4.3
NY,Cayuga County,4.3
CA,Madera County,4.3
IL,Williamson County,4.3
CO,Logan County,4.3
TN,Washington County,4.3
NE,Dawson County,4.3
KY,Morgan County,4.3
KY,Webster County,4.3
OK,Alfalfa County,4.3
TN,Anderson County,4.2
NV,Pershing County,4.2
MI,Van Buren County,4.2
IN,Putnam County,4.2
TX,Floyd County,4.2
NC,Stokes County,4.2
AL,Marion County,4.2
OH,Belmont County,4.2
TX,Jack County,4.2
KS,Seward County,4.2
KY,Barren County,4.2
IA,Webster County,4.2
VA,Montgomery County,4.2
NM,Otero County,4.2
VA,Lee County,4.2
VA,Augusta County,4.2
CA,Merced County,4.2
MO,Moniteau County,4.1
IL,Saline County,4.1
PA,Bucks County,4.1
NC,McDowell County,4.1
TX,Lampasas County,4.1
AZ,Pima County,4.1
IL,Coles County,4.1
IL,Marion County,4.1
KY,Calloway County,4.1
MN,Rice County,4.1
NC,Surry County,4.1
TN,Marion County,4.1
TN,McMinn County,4.1
TX,Hays County,4.1
IN,Hamilton County,4.1
RI,Newport County,4.1
PA,Lawrence County,4.1
NC,Transylvania County,4.1
LA,Cameron Parish,4.1
TX,El Paso County,4
CA,Yuba County,4
CO,Fremont County,4
MO,Cass County,4
OH,Muskingum County,4
GA,Habersham County,4
ND,Ward County,4
OK,Atoka County,4
KY,Mercer County,3.9
MN,Stearns County,3.9
KY,Meade County,3.9
NE,Lancaster County,3.9
TX,Reagan County,3.9
OK,Payne County,3.9
OK,Wagoner County,3.9
OH,Lake County,3.9
IL,Fulton County,3.9
PA,Franklin County,3.9
TX,Frio County,3.9
WV,Monongalia County,3.9
TX,Fisher County,3.8
IL,Cass County,3.8
IN,Porter County,3.8
TN,Coffee County,3.8
TX,Stonewall County,3.8
PA,Centre County,3.8
PA,Cumberland County,3.8
TX,Brown County,3.8
ME,Androscoggin County,3.8
OH,Ashtabula County,3.8
OH,Licking County,3.8
MA,Dukes County,3.7
VA,Bland County,3.7
TN,Hardin County,3.7
IL,Adams County,3.7
IL,Clinton County,3.7
CO,Adams County,3.7
ND,Cass County,3.7
MO,Texas County,3.7
OH,Pickaway County,3.7
TN,Morgan County,3.7
WV,Ohio County,3.7
AL,Cleburne County,3.6
OK,Pittsburg County,3.6
KS,Saline County,3.6
CT,Tolland County,3.6
AL,Jackson County,3.6
MN,Scott County,3.6
MD,Carroll County,3.6
TX,Oldham County,3.6
NJ,Morris County,3.6
TN,Warren County,3.6
PA,Wayne County,3.6
OK,Texas County,3.6
NV,Lincoln County,3.5
NJ,Ocean County,3.5
IN,Monroe County,3.5
MN,Blue Earth County,3.5
WV,Marion County,3.5
AR,Washington County,3.5
PA,Cambria County,3.5
GA,Forsyth County,3.5
OH,Delaware County,3.5
ND,Grand Forks County,3.5
KY,Elliott County,3.5
CA,Del Norte County,3.5
GA,Brantley County,3.5
MN,Kandiyohi County,3.5
PA,Greene County,3.5
NC,Yadkin County,3.5
IL,Schuyler County,3.5
CA,Monterey County,3.5
OH,Warren County,3.5
VA,Botetourt County,3.5
AR,Pike County,3.5
CA,Imperial County,3.5
KY,Jessamine County,3.5
OK,Blaine County,3.5
VA,Tazewell County,3.4
MN,Mower County,3.4
WY,Laramie County,3.4
WA,Thurston County,3.4
NC,Henderson County,3.4
KS,Doniphan County,3.4
IL,Montgomery County,3.4
NY,Washington County,3.4
OK,Custer County,3.4
MO,Pettis County,3.4
OK,Garfield County,3.4
NM,Bernalillo County,3.4
KS,Reno County,3.4
PA,Lebanon County,3.3
OK,Woods County,3.3
KS,Finney County,3.3
PA,Lackawanna County,3.3
MO,Lewis County,3.3
CA,Stanislaus County,3.3
PA,Schuylkill County,3.3
NY,Wayne County,3.3
OK,Craig County,3.3
KS,Bourbon County,3.3
MI,Manistee County,3.3
PA,Sullivan County,3.2
TX,Johnson County,3.2
TX,Cooke County,3.2
PA,Washington County,3.2
OK,McIntosh County,3.2
TX,Randall County,3.2
IA,Clinton County,3.2
OH,Sandusky County,3.2
KY,Larue County,3.2
NY,Putnam County,3.2
AR,Pope County,3.2
ID,Elmore County,3.2
NY,Essex County,3.2
WI,Adams County,3.2
MO,Livingston County,3.2
OK,Pottawatomie County,3.2
MO,Greene County,3.2
NY,Genesee County,3.2
KY,Boone County,3.2
TN,Houston County,3.2
KY,Ballard County,3.1
KY,Campbell County,3.1
MA,Berkshire County,3.1
TX,Van Zandt County,3.1
CO,Morgan County,3.1
FL,Citrus County,3.1
IA,Lee County,3.1
IN,Knox County,3.1
KS,Norton County,3.1
TX,Baylor County,3.1
WV,Mineral County,3.1
TX,Calhoun County,3.1
WI,Dodge County,3.1
HI,Honolulu County,3.1
WA,Snohomish County,3.1
KY,Boyd County,3.1
TX,Winkler County,3
CA,Yolo County,3
NY,Livingston County,3
IA,Dubuque County,3
KY,Adair County,3
TX,Crane County,3
MI,Mecosta County,3
PA,Clearfield County,3
TX,Moore County,3
OH,Morgan County,3
MA,Hampshire County,3
CA,San Mateo County,3
TN,Blount County,3
OK,Caddo County,3
WV,Hardy County,3
TN,Decatur County,3
NC,Dare County,3
KY,Montgomery County,3
KS,Cowley County,3
TX,Hutchinson County,3
KS,Ford County,3
VA,Wythe County,2.9
WA,Island County,2.9
TX,Briscoe County,2.9
WA,Kitsap County,2.9
CA,Santa Clara County,2.9
NE,Colfax County,2.9
OK,Canadian County,2.9
KY,Henry County,2.9
TX,Rains County,2.9
IA,Buena Vista County,2.9
ME,Cumberland County,2.9
WV,Greenbrier County,2.9
CA,Marin County,2.9
GA,Banks County,2.9
IN,Perry County,2.9
PA,Indiana County,2.9
CT,Windham County,2.9
OK,Garvin County,2.8
VA,Buchanan County,2.8
TX,Wheeler County,2.8
MI,Saint Joseph County,2.8
KY,Menifee County,2.8
GA,Catoosa County,2.8
TX,Medina County,2.8
IA,Story County,2.8
MI,Lenawee County,2.8
KS,Lyon County,2.8
TX,McCulloch County,2.8
KY,Cumberland County,2.8
IA,Woodbury County,2.8
MS,Tishomingo County,2.8
PA,Somerset County,2.8
TX,Coleman County,2.8
OH,Noble County,2.8
WA,Franklin County,2.8
MO,Monroe County,2.8
AR,Grant County,2.8
OH,Wood County,2.8
TN,Humphreys County,2.7
AL,Marshall County,2.7
OH,Scioto County,2.7
MO,Nodaway County,2.7
OK,Washington County,2.7
OH,Athens County,2.7
MI,Isabella County,2.7
IN,Henry County,2.7
MN,Steele County,2.7
TX,Willacy County,2.7
OH,Union County,2.7
NV,Nye County,2.7
TN,Roane County,2.7
TX,Upton County,2.7
IL,Boone County,2.7
NE,Hall County,2.7
AZ,Yuma County,2.7
NY,Montgomery County,2.7
NY,Chautauqua County,2.7
NJ,Hunterdon County,2.7
VA,Rockbridge County,2.7
NM,Sandoval County,2.6
OK,Grady County,2.6
NH,Hillsborough County,2.6
OH,Gallia County,2.6
OH,Seneca County,2.6
TX,Concho County,2.6
TX,Stephens County,2.6
MI,Saint Clair County,2.6
PA,Northumberland County,2.6
IN,Parke County,2.6
TX,Runnels County,2.6
TX,Castro County,2.6
KY,Lee County,2.6
NY,Ontario County,2.6
NV,Washoe County,2.6
IA,Henry County,2.6
WV,Hancock County,2.6
NE,Banner County,2.6
PA,McKean County,2.6
TX,San Saba County,2.5
TX,Palo Pinto County,2.5
CA,Sutter County,2.5
MN,Benton County,2.5
OH,Columbiana County,2.5
MN,Lyon County,2.5
NY,Saint Lawrence County,2.5
OH,Fayette County,2.5
CO,Pueblo County,2.5
PA,Westmoreland County,2.5
MA,Barnstable County,2.5
AK,Yakutat City and Borough,2.5
NM,Roosevelt County,2.5
TX,Eastland County,2.5
NM,Chaves County,2.5
WI,Brown County,2.5
TN,Benton County,2.5
MN,Waseca County,2.5
OK,Pontotoc County,2.5
TX,Lynn County,2.5
CO,Kit Carson County,2.5
TX,Burnet County,2.4
VA,Shenandoah County,2.4
VT,Chittenden County,2.4
WV,Pendleton County,2.4
CA,Santa Barbara County,2.4
MI,Montcalm County,2.4
OK,Creek County,2.4
TN,Monroe County,2.4
MI,Monroe County,2.4
CA,Napa County,2.4
KY,Lincoln County,2.4
MO,Lafayette County,2.4
GA,White County,2.4
MO,Jasper County,2.4
KY,Bell County,2.4
TN,Sullivan County,2.4
ND,Williams County,2.4
TN,Perry County,2.4
IL,Warren County,2.4
TN,Putnam County,2.4
MO,Warren County,2.4
VA,Smyth County,2.4
MO,Phelps County,2.4
MN,Pine County,2.4
MN,Nicollet County,2.4
WI,Juneau County,2.4
IA,Page County,2.4
TN,Jefferson County,2.4
MO,Washington County,2.4
KY,Monroe County,2.3
TX,Comal County,2.3
OK,Nowata County,2.3
KY,Harlan County,2.3
NC,Jackson County,2.3
IN,Bartholomew County,2.3
VA,Grayson County,2.3
IL,LaSalle County,2.3
KS,Crawford County,2.3
OK,Le Flore County,2.3
IA,Jones County,2.3
IA,Crawford County,2.3
IN,Hancock County,2.3
MO,Macon County,2.3
TN,Johnson County,2.3
OH,Champaign County,2.3
TX,Martin County,2.3
MO,Chariton County,2.3
OH,Clinton County,2.3
WA,Whitman County,2.3
OK,Cotton County,2.3
KY,Harrison County,2.3
TN,Moore County,2.3
OK,Kay County,2.3
AR,Independence County,2.3
CA,Tulare County,2.2
WI,Jackson County,2.2
TN,Lewis County,2.2
CA,Ventura County,2.2
MI,Branch County,2.2
KS,Allen County,2.2
NY,Otsego County,2.2
NV,Carson City,2.2
OH,Miami County,2.2
NM,Guadalupe County,2.2
AR,Perry County,2.2
KY,Breckinridge County,2.2
WA,Clark County,2.2
OH,Lawrence County,2.2
CA,San Luis Obispo County,2.2
IA,Muscatine County,2.2
OH,Harrison County,2.2
TX,Andrews County,2.2
OH,Defiance County,2.2
NV,Churchill County,2.2
TX,San Patricio County,2.2
KY,Green County,2.2
OR,Washington County,2.2
TX,Gaines County,2.2
NJ,Sussex County,2.2
VA,Page County,2.2
KY,Anderson County,2.2
NM,Doña Ana County,2.2
TN,Rhea County,2.2
KY,Garrard County,2.2
TN,Greene County,2.2
IA,Wapello County,2.2
OH,Shelby County,2.2
NM,Torrance County,2.2
WA,Walla Walla County,2.1
MO,Carroll County,2.1
CA,Tuolumne County,2.1
TN,DeKalb County,2.1
VA,Rockingham County,2.1
TN,Smith County,2.1
OK,Woodward County,2.1
OK,Johnston County,2.1
CA,Orange County,2.1
AZ,Graham County,2.1
OK,Stephens County,2.1
AR,Johnson County,2.1
AL,DeKalb County,2.1
CA,Lake County,2.1
MN,Sherburne County,2.1
CA,Amador County,2.1
AR,Yell County,2.1
OK,Love County,2.1
PA,Columbia County,2.1
TX,Motley County,2.1
IN,Gibson County,2.1
WI,Waushara County,2.1
TX,Dallam County,2
IA,Floyd County,2
TX,Bosque County,2
NY,Madison County,2
IA,Decatur County,2
IN,Jefferson County,2
WI,Crawford County,2
IA,Marshall County,2
NM,Union County,2
TX,Kerr County,2
IN,Cass County,2
TX,Deaf Smith County,2
NY,Delaware County,2
TX,Val Verde County,2
WI,Winnebago County,2
WV,Logan County,2
OK,Sequoyah County,2
TN,White County,2
TX,Aransas County,2
TN,Cocke County,2
UT,Salt Lake County,2
MO,Lincoln County,2
NY,Fulton County,2
NY,Cortland County,1.9
AR,Benton County,1.9
IA,Jasper County,1.9
IA,Calhoun County,1.9
PA,Adams County,1.9
WV,Mingo County,1.9
PA,Blair County,1.9
CO,Alamosa County,1.9
IL,Henry County,1.9
MI,Clinton County,1.9
KS,Butler County,1.9
TX,Terrell County,1.9
KS,Harvey County,1.9
OK,Bryan County,1.9
IA,Jefferson County,1.9
SD,Yankton County,1.9
KY,Carroll County,1.9
VA,Floyd County,1.9
MO,Adair County,1.9
TX,Crockett County,1.9
NV,Esmeralda County,1.9
PA,Carbon County,1.9
GA,Lumpkin County,1.9
PA,Crawford County,1.9
KY,Rowan County,1.9
WA,Spokane County,1.9
NC,Alleghany County,1.9
CA,Sonoma County,1.9
IL,Pike County,1.9
WV,Doddridge County,1.9
CO,Costilla County,1.9
KY,Metcalfe County,1.9
NC,Watauga County,1.9
TN,Stewart County,1.9
OK,Lincoln County,1.9
NM,Eddy County,1.9
NM,San Miguel County,1.9
NE,Wayne County,1.9
SD,Meade County,1.9
TX,Jeff Davis County,1.9
RI,Kent County,1.9
TN,Cheatham County,1.9
IN,Johnson County,1.9
AL,Blount County,1.8
KY,Edmonson County,1.8
OH,Hancock County,1.8
NC,Macon County,1.8
CA,Butte County,1.8
WI,Sheboygan County,1.8
NC,Madison County,1.8
NE,Dawes County,1.8
IA,Dallas County,1.8
NM,Quay County,1.8
AR,Izard County,1.8
NY,Saratoga County,1.8
TX,Hudspeth County,1.8
KS,Barton County,1.8
PA,Clinton County,1.8
CO,Gilpin County,1.8
KY,Spencer County,1.8
TN,Lawrence County,1.8
TX,Kinney County,1.8
KY,Gallatin County,1.8
KY,Wayne County,1.8
TX,Lipscomb County,1.8
CT,Litchfield County,1.8
OK,Marshall County,1.8
WA,Grant County,1.8
CO,Las Animas County,1.8
KS,Rice County,1.8
OH,Logan County,1.8
TX,Schleicher County,1.8
MI,Ottawa County,1.8
AK,Denali Borough,1.8
OK,Noble County,1.8
WY,Albany County,1.8
AZ,Greenlee County,1.8
CO,Chaffee County,1.7
KY,Perry County,1.7
NE,Madison County,1.7
TX,Bailey County,1.7
TX,Erath County,1.7
WV,Harrison County,1.7
WY,Natrona County,1.7
TX,Glasscock County,1.7
OK,Murray County,1.7
MI,Bay County,1.7
CA,Placer County,1.7
SD,Beadle County,1.7
OH,Wayne County,1.7
TN,Cannon County,1.7
MT,Cascade County,1.7
NM,Luna County,1.7
TX,Wilson County,1.7
MN,Clay County,1.7
NM,Valencia County,1.7
ND,Stark County,1.7
TX,Parmer County,1.7
MO,Sullivan County,1.7
MI,Marquette County,1.7
IL,Whiteside County,1.7
GA,Pickens County,1.7
TX,Menard County,1.7
TX,Dimmit County,1.7
TX,Armstrong County,1.7
TX,Parker County,1.7
MN,Watonwan County,1.7
VA,Giles County,1.6
NY,Steuben County,1.6
NC,Cherokee County,1.6
WI,Chippewa County,1.6
MI,Mackinac County,1.6
GA,Rabun County,1.6
MO,Iron County,1.6
AR,Crawford County,1.6
SD,Brown County,1.6
IN,Fayette County,1.6
PA,Montour County,1.6
AK,Petersburg Borough,1.6
TN,Carter County,1.6
KS,Brown County,1.6
OH,Guernsey County,1.6
MO,Montgomery County,1.6
TN,Meigs County,1.6
AZ,Coconino County,1.6
KS,Edwards County,1.6
MN,Carver County,1.6
KY,Fleming County,1.6
SD,Pennington County,1.6
MO,McDonald County,1.6
TX,Wise County,1.6
NE,York County,1.6
NE,Saline County,1.6
TX,Young County,1.6
TN,Loudon County,1.6
MN,Saint Louis County,1.6
UT,Weber County,1.6
OK,Kingfisher County,1.6
IL,Christian County,1.6
WV,Brooke County,1.6
SD,Clay County,1.6
TN,Clay County,1.6
AK,Juneau City and Borough,1.6
MN,Carlton County,1.6
WA,Benton County,1.6
IA,Pottawattamie County,1.6
TX,Yoakum County,1.6
NV,Storey County,1.6
WI,Fond du Lac County,1.6
MO,Clinton County,1.6
IN,Warrick County,1.6
NY,Cattaraugus County,1.5
WV,Pleasants County,1.5
OR,Malheur County,1.5
KY,Carlisle County,1.5
TX,Presidio County,1.5
TX,Callahan County,1.5
MN,Winona County,1.5
WI,La Crosse County,1.5
KY,Trimble County,1.5
ND,Barnes County,1.5
AK,Kodiak Island Borough,1.5
NY,Schoharie County,1.5
IL,Grundy County,1.5
WY,Sweetwater County,1.5
OK,Cherokee County,1.5
WV,Randolph County,1.5
TX,Irion County,1.5
WA,Yakima County,1.5
TN,Hawkins County,1.5
WI,Columbia County,1.5
AR,Logan County,1.5
VA,Washington County,1.5
WI,Ozaukee County,1.5
SD,Brookings County,1.5
WI,Monroe County,1.5
OH,Clermont County,1.5
KY,Bath County,1.5
WY,Carbon County,1.5
NV,Elko County,1.5
AK,Southeast Fairbanks Census Area,1.5
IN,Boone County,1.5
IA,Hardin County,1.5
AK,North Slope Borough,1.5
OH,Highland County,1.5
MO,Henry County,1.4
OH,Medina County,1.4
GA,Dade County,1.4
OR,Marion County,1.4
TX,Atascosa County,1.4
CO,Douglas County,1.4
MI,Midland County,1.4
WA,Adams County,1.4
OH,Huron County,1.4
IA,Winnebago County,1.4
TX,Duval County,1.4
WI,Lincoln County,1.4
IA,Poweshiek County,1.4
CO,Broomfield County,1.4
IL,McHenry County,1.4
RI,Washington County,1.4
MI,Allegan County,1.4
MA,Franklin County,1.4
KS,Pottawatomie County,1.4
WI,Waukesha County,1.4
TX,Brewster County,1.4
TX,McMullen County,1.4
WA,Mason County,1.4
CA,Humboldt County,1.4
GA,Murray County,1.4
NM,Cibola County,1.4
KS,Pratt County,1.4
MO,Ray County,1.4
IA,Allamakee County,1.4
SD,Clark County,1.4
CA,Santa Cruz County,1.4
NH,Merrimack County,1.4
UT,Davis County,1.4
MO,Taney County,1.4
CO,Weld County,1.4
AL,Cullman County,1.4
CA,Siskiyou County,1.4
WA,Grays Harbor County,1.4
TX,Shackelford County,1.4
MN,Polk County,1.4
KS,Franklin County,1.4
IA,Cerro Gordo County,1.4
IL,Tazewell County,1.3
TX,Llano County,1.3
NM,Socorro County,1.3
WI,Outagamie County,1.3
SD,Bon Homme County,1.3
NY,Allegany County,1.3
AZ,Mohave County,1.3
WV,Hampshire County,1.3
MI,Grand Traverse County,1.3
AZ,Navajo County,1.3
WY,Sublette County,1.3
SD,Lincoln County,1.3
KS,Neosho County,1.3
WI,Grant County,1.3
KS,Miami County,1.3
KY,Hancock County,1.3
NM,Hidalgo County,1.3
NV,Lyon County,1.3
KS,Sumner County,1.3
KY,Pulaski County,1.3
NC,Swain County,1.3
PA,Butler County,1.3
WI,Walworth County,1.3
TX,Sterling County,1.3
WV,Preston County,1.3
OH,Geauga County,1.3
MN,Chisago County,1.3
KY,Knox County,1.3
CA,San Benito County,1.3
MN,Stevens County,1.3
MI,Newaygo County,1.3
MN,Pennington County,1.3
CO,Jefferson County,1.3
KS,Chase County,1.3
TX,Zavala County,1.3
IA,Mahaska County,1.3
TX,Culberson County,1.3
AK,Matanuska-Susitna Borough,1.3
ID,Ada County,1.3
OK,Rogers County,1.3
WY,Teton County,1.2
MN,Goodhue County,1.2
MN,Pipestone County,1.2
NC,Haywood County,1.2
WY,Goshen County,1.2
TX,Somervell County,1.2
OH,Washington County,1.2
NY,Warren County,1.2
GA,Towns County,1.2
WV,Wood County,1.2
OH,Williams County,1.2
NV,Humboldt County,1.2
IA,Boone County,1.2
NH,Strafford County,1.2
KY,Grayson County,1.2
CA,Colusa County,1.2
NM,Santa Fe County,1.2
PA,Venango County,1.2
PA,Fulton County,1.2
PA,Snyder County,1.2
IA,Fayette County,1.2
OH,Coshocton County,1.2
NY,Herkimer County,1.2
WI,Douglas County,1.2
TN,Sevier County,1.2
MO,Ralls County,1.2
SD,Marshall County,1.2
MI,Tuscola County,1.2
IN,Shelby County,1.2
KS,Marion County,1.2
TX,Uvalde County,1.2
OK,Grant County,1.2
CO,Garfield County,1.2
TN,Claiborne County,1.2
NV,Eureka County,1.2
AZ,La Paz County,1.2
MN,Wright County,1.2
TX,Sherman County,1.2
VA,Poquoson,1.2
WA,Kittitas County,1.2
IL,Menard County,1.2
WA,Whatcom County,1.2
ND,McKenzie County,1.2
CA,Modoc County,1.2
MO,Stoddard County,1.2
ND,Burleigh County,1.2
NM,Grant County,1.2
OK,Ottawa County,1.2
NC,Yancey County,1.2
OK,Washita County,1.2
KS,McPherson County,1.2
NY,Schuyler County,1.2
CA,Glenn County,1.2
OK,Latimer County,1.2
CO,Otero County,1.2
CO,Custer County,1.2
MI,Lapeer County,1.2
CA,Plumas County,1.2
VT,Windham County,1.2
CO,Larimer County,1.1
TX,Brooks County,1.1
IL,Union County,1.1
SD,Fall River County,1.1
IL,Carroll County,1.1
RI,Bristol County,1.1
AK,Sitka City and Borough,1.1
OR,Benton County,1.1
OH,Pike County,1.1
MN,Otter Tail County,1.1
OR,Yamhill County,1.1
WY,Niobrara County,1.1
WY,Park County,1.1
WY,Crook County,1.1
MO,Webster County,1.1
NC,Clay County,1.1
TX,Mills County,1.1
NE,Nemaha County,1.1
TX,Blanco County,1.1
MO,Jefferson County,1.1
CO,Baca County,1.1
KY,Allen County,1.1
TX,Throckmorton County,1.1
IN,Kosciusko County,1.1
NY,Oswego County,1.1
TX,La Salle County,1.1
PA,Clarion County,1.1
SD,Union County,1.1
NE,Dodge County,1.1
OR,Lane County,1.1
MT,Powell County,1.1
TX,Kent County,1.1
OH,Paulding County,1.1
WV,Putnam County,1.1
MO,Bates County,1.1
NE,Buffalo County,1.1
CA,Shasta County,1.1
TX,Archer County,1.1
KS,Wichita County,1.1
OK,Jefferson County,1.1
CA,Mariposa County,1.1
KY,Bullitt County,1.1
MD,Garrett County,1.1
KS,Russell County,1.1
IN,Orange County,1.1
IL,Iroquois County,1.1
IL,Macoupin County,1.1
OR,Umatilla County,1.1
WI,Washington County,1.1
WV,Pocahontas County,1.1
TX,Kendall County,1.1
MN,Freeborn County,1.1
NH,Grafton County,1.1
WV,Taylor County,1.1
CO,Boulder County,1.1
IL,Ogle County,1.1
ND,Stutsman County,1.1
ID,Latah County,1.1
CO,Rio Blanco County,1.1
IL,Greene County,1.1
CO,Summit County,1
WA,Jefferson County,1
MO,Polk County,1
IN,Daviess County,1
AK,Northwest Arctic Borough,1
WI,Eau Claire County,1
IA,Marion County,1
KS,Dickinson County,1
ID,Power County,1
ND,Dickey County,1
CA,El Dorado County,1
WA,Pacific County,1
CO,Eagle County,1
KY,Ohio County,1
OK,Pushmataha County,1
IN,Rush County,1
CO,Phillips County,1
KS,Ellis County,1
KY,Owen County,1
IA,Bremer County,1
TX,Ochiltree County,1
IN,Posey County,1
VA,Russell County,1
SD,Deuel County,1
OH,Ottawa County,1
OH,Brown County,1
SD,Hughes County,1
AL,Winston County,1
KY,Greenup County,1
CA,Inyo County,1
WI,Forest County,1
IL,Ford County,1
KS,Logan County,1
CO,Mesa County,1
KY,Floyd County,1
WI,Barron County,1
CA,Mendocino County,1
CO,Huerfano County,1
WV,Barbour County,1
NY,Yates County,1
MN,Cottonwood County,1
TX,Coke County,1
NM,Lincoln County,1
NE,Lincoln County,1
NE,Adams County,1
WY,Sheridan County,1
SD,Grant County,1
KY,Grant County,1
OH,Crawford County,1
TX,Jim Wells County,1
WI,Jefferson County,1
OR,Jefferson County,1
TX,Mason County,1
MO,Franklin County,1
IA,Emmet County,1
KS,Sherman County,1
VT,Addison County,1
NM,McKinley County,1
OH,Van Wert County,1
NC,Ashe County,1
IA,Sioux County,1
IA,Louisa County,1
IN,Jackson County,1
MO,Morgan County,1
KY,Crittenden County,1
WY,Converse County,1
SD,Lawrence County,1
AR,Lawrence County,1
IA,Union County,1
SD,Lake County,1
TX,Comanche County,1
CA,Calaveras County,1
OR,Clackamas County,1
MO,Newton County,1
WA,Clallam County,1
TX,Hamilton County,1
NY,Chenango County,1
NM,Mora County,1
SD,Davison County,1
UT,Sanpete County,1
IN,Montgomery County,1
MN,Wadena County,1
TX,Hansford County,1
IN,Benton County,1
VT,Bennington County,1
NY,Hamilton County,1
OH,Knox County,1
CA,Tehama County,1
OH,Hardin County,1
