State,County,NumShootings
NC,Pitt County,5
OK,Okmulgee County,5
NY,Westchester County,5
AR,Pope County,5
WA,Benton County,5
MT,Cascade County,5
FL,Citrus County,5
FL,Okaloosa County,5
CA,Yuba County,5
TX,Parker County,5
FL,Clay County,5
OK,Pontotoc County,5
NY,Queens County,5
NY,Orange County,5
NV,Nye County,4
TX,Lubbock County,4
AL,Saint Clair County,4
MS,Lowndes County,4
NY,Erie County,4
GA,Lowndes County,4
TN,Loudon County,4
CA,Humboldt County,4
PA,Lancaster County,4
NC,Anson County,4
NJ,Hudson County,4
GA,Walker County,4
NH,Rockingham County,4
AL,Russell County,4
FL,Putnam County,4
OK,Rogers County,4
LA,Ouachita Parish County,4
WV,Mercer County,4
WI,Outagamie County,4
NM,Lincoln County,4
AR,Benton County,4
TX,Lamar County,4
FL,Alachua County,4
WI,Unknown County,4
CA,Imperial County,4
FL,Indian River County,4
AL,Baldwin County,4
WA,Franklin County,4
NC,Catawba County,4
IN,Allen County,4
WI,Marathon County,4
NC,Iredell County,4
WI,Marinette County,4
UT,Unknown County,4
OK,Sequoyah County,4
IN,Saint Joseph County,4
MS,Forrest County,4
IL,Unknown County,4
IL,Saint Clair County,4
PA,York County,4
SC,Florence County,4
CA,Lake County,4
GA,Carroll County,4
TN,Anderson County,4
NV,Carson City County,4
NM,Otero County,4
AZ,Unknown County,4
WA,Kitsap County,4
AL,Unknown County,4
MO,Cass County,4
NM,Valencia County,4
TX,Guadalupe County,4
IL,Winnebago County,4
MS,Lauderdale County,4
CO,Las Animas County,4
GA,Richmond County,4
AL,Montgomery County,4
AK,Kenai Peninsula County,4
PA,Montgomery County,4
KY,Daviess County,4
ME,Aroostook County,4
NJ,Camden County,4
NM,Santa Fe County,4
TN,Montgomery County,4
IN,Henry County,4
VA,Newport News County,4
WV,Harrison County,4
NH,Hillsborough County,4
CT,New London County,4
CA,Siskiyou County,4
OK,Pittsburg County,4
TX,Hays County,4
NY,Schenectady County,4
NC,Henderson County,4
WI,Waukesha County,4
OK,Muskogee County,4
IA,Scott County,4
ME,Penobscot County,4
DE,Sussex County,4
AZ,Navajo County,4
PA,Lehigh County,4
PA,Westmoreland County,4
TN,Hamblen County,4
NY,Bronx County,4
GA,Bibb County,4
MT,Missoula County,4
NC,Robeson County,4
AR,Mississippi County,4
ME,Kennebec County,4
NJ,Monmouth County,4
VA,Roanoke County,4
MN,Anoka County,4
OK,Delaware County,4
VA,Portsmouth County,3
TN,Hawkins County,3
MS,Lafayette County,3
WI,Brown County,3
GA,Clayton County,3
KS,Harvey County,3
MI,Genesee County,3
NM,Taos County,3
KS,Saline County,3
SD,Todd County,3
LA,Tangipahoa Parish County,3
IN,Clark County,3
CO,Garfield County,3
IN,Hamilton County,3
TN,Sevier County,3
TX,Atascosa County,3
AL,Talladega County,3
OK,Pottawatomie County,3
KY,Laurel County,3
NC,Unknown County,3
WI,Clark County,3
CA,Yolo County,3
IL,Peoria County,3
IA,Linn County,3
CA,Santa Cruz County,3
TX,Grayson County,3
KY,Grayson County,3
NC,Person County,3
LA,Livingston Parish County,3
OK,Logan County,3
VT,Chittenden County,3
TN,Greene County,3
KY,Hardin County,3
OK,Payne County,3
FL,Sumter County,3
MD,Harford County,3
NH,Grafton County,3
ME,Androscoggin County,3
MA,Plymouth County,3
FL,Seminole County,3
MO,Buchanan County,3
GA,Peach County,3
MO,Boone County,3
TX,Taylor County,3
NC,Sampson County,3
GA,Troup County,3
FL,Santa Rosa County,3
NM,Chaves County,3
FL,Highlands County,3
PA,Luzerne County,3
MD,Howard County,3
AR,Saline County,3
AL,Colbert County,3
TX,Kendall County,3
PA,Monroe County,3
MA,Norfolk County,3
FL,Collier County,3
WI,Racine County,3
IA,Des Moines County,3
OR,Deschutes County,3
WV,Roane County,3
AR,Jefferson County,3
IL,Rock Island County,3
MO,Cole County,3
MS,Washington County,3
GA,Douglas County,3
NJ,Middlesex County,3
DE,Kent County,3
IL,DuPage County,3
VA,Rockingham County,3
NC,Alamance County,3
TN,Cocke County,3
AZ,Cochise County,3
OH,Medina County,3
MO,Jasper County,3
KY,Kenton County,3
CT,New Haven County,3
NY,Nassau County,3
AR,Craighead County,3
CA,Nevada County,3
OK,Creek County,3
NJ,Bergen County,3
VA,Culpeper County,3
KY,Cumberland County,3
ME,Cumberland County,3
NC,New Hanover County,3
GA,Muscogee County,3
SC,Berkeley County,3
OR,Clatsop County,3
CA,Sonoma County,3
MI,Kalamazoo County,3
VT,Washington County,3
IA,Webster County,3
WI,Dane County,3
SC,Darlington County,3
GA,Newton County,3
TX,Kaufman County,3
PA,Berks County,3
OH,Richland County,3
VA,Prince William County,3
TN,Maury County,3
WA,Mason County,3
NC,Cleveland County,3
AR,Saint Francis County,3
GA,Fayette County,3
TN,Fayette County,3
OR,Klamath County,3
RI,Providence County,3
KY,Knott County,3
ID,Bonner County,3
TX,Kerr County,3
MT,Flathead County,3
MO,Clay County,3
GA,Forsyth County,3
TN,Williamson County,3
OK,Unknown County,3
GA,Bartow County,3
TN,Franklin County,3
MD,Frederick County,3
ID,Bannock County,3
MO,Pettis County,3
IN,Elkhart County,3
NC,Wilkes County,3
NV,Elko County,3
OH,Pike County,3
OK,McCurtain County,3
MO,Saint Charles County,3
LA,Calcasieu Parish County,3
OH,Stark County,3
MI,Saginaw County,3
TX,Ellis County,3
ID,Elmore County,3
AL,Elmore County,3
TN,Smith County,2
ID,Kootenai County,2
IN,Shelby County,2
LA,Lafayette Parish County,2
KY,Pike County,2
AL,Shelby County,2
SC,Pickens County,2
WI,Ashland County,2
GA,Pickens County,2
WI,Sheboygan County,2
FL,Bradford County,2
AR,Phillips County,2
LA,Beauregard Parish County,2
AR,Sebastian County,2
WI,Kenosha County,2
OK,Kay County,2
TX,Scurry County,2
WA,Kittitas County,2
WY,Laramie County,2
AR,Perry County,2
TN,Bradley County,2
KY,Perry County,2
VA,King George County,2
VA,Scott County,2
OH,Pickaway County,2
WV,Braxton County,2
TX,Matagorda County,2
NC,Rowan County,2
OK,Mccurtain County,2
VA,Pulaski County,2
NC,Rutherford County,2
TN,Rutherford County,2
NM,McKinley County,2
VT,Rutland County,2
KY,McCracken County,2
MN,Blue Earth County,2
WV,Putnam County,2
IL,Massac County,2
MO,Saint Francois County,2
FL,Martin County,2
AL,Marshall County,2
WV,Marion County,2
NC,Onslow County,2
AR,Marion County,2
CA,Marin County,2
IA,Boone County,2
TX,Nolan County,2
WV,Randolph County,2
TX,Nacogdoches County,2
MS,Rankin County,2
KY,Muhlenberg County,2
LA,Red River Parish County,2
NC,Moore County,2
KS,Reno County,2
NY,Rensselaer County,2
WV,Raleigh County,2
WI,Manitowoc County,2
WV,Berkeley County,2
VA,Richmond City County,2
TX,Montague County,2
MS,Monroe County,2
MI,Berrien County,2
SD,Minnehaha County,2
ID,Bingham County,2
NC,Bladen County,2
CO,Park County,2
OK,Ottawa County,2
NC,Lincoln County,2
MS,Lincoln County,2
ME,Lincoln County,2
WA,Lewis County,2
TN,Lewis County,2
NM,Sandoval County,2
OR,Polk County,2
KY,Bath County,2
CT,Litchfield County,2
NC,Lee County,2
MS,Lee County,2
IA,Lee County,2
AZ,Santa Cruz County,2
NH,Belknap County,2
LA,Acadia Parish County,2
GA,Paulding County,2
PA,Lebanon County,2
OK,Le Flore County,2
FL,Osceola County,2
OR,Malheur County,2
KY,Madison County,2
LA,Saint Martin Parish County,2
IL,Madison County,2
ID,Madison County,2
IL,Macoupin County,2
NC,Macon County,2
MD,Saint Mary's County,2
OK,Osage County,2
PA,Lawrence County,2
NV,Lyon County,2
IN,Porter County,2
OH,Portage County,2
LA,Avoyelles Parish County,2
KY,Logan County,2
CO,Logan County,2
TX,Llano County,2
MO,Livingston County,2
ND,Grand Forks County,2
VA,Grayson County,2
WA,Grays Harbor County,2
IL,Williamson County,2
CO,Alamosa County,2
IL,Will County,2
OK,Cleveland County,2
OK,Canadian County,2
TN,Crockett County,2
LA,East Feliciana Parish County,2
MD,Wicomico County,2
TX,Williamson County,2
SC,Union County,2
AK,Unknown County,2
ID,Gooding County,2
AR,Unknown County,2
NJ,Gloucester County,2
AZ,Gila County,2
TX,Wichita County,2
TN,Gibson County,2
AL,Crenshaw County,2
MN,Douglas County,2
AL,Chilton County,2
OK,Washita County,2
NC,Buncombe County,2
NE,Hall County,2
NM,Cibola County,2
LA,Winn Parish County,2
ND,Burleigh County,2
WY,Campbell County,2
VA,Winchester County,2
GA,Whitfield County,2
VA,Caroline County,2
OH,Clark County,2
AL,Walker County,2
OK,Wagoner County,2
MN,Wadena County,2
IN,Wabash County,2
KY,Greenup County,2
TX,Anderson County,2
NY,Dutchess County,2
OR,Coos County,2
WI,Forest County,2
VA,Unknown County,2
GA,Floyd County,2
WV,Unknown County,2
MO,Cape Girardeau County,2
WY,Converse County,2
WV,Fayette County,2
PA,Fayette County,2
OH,Fayette County,2
NY,Albany County,2
NC,Forsyth County,2
VA,Fairfax County,2
WV,Cabell County,2
LA,Evangeline Parish County,2
AL,Etowah County,2
AR,Van Buren County,2
OK,Caddo County,2
PA,Erie County,2
KS,Ellis County,2
WY,Albany County,2
NV,Unknown County,2
KY,Unknown County,2
MT,Gallatin County,2
TN,White County,2
AR,Crawford County,2
MS,Unknown County,2
ND,Unknown County,2
GA,Butts County,2
AR,White County,2
TX,Freestone County,2
OK,Choctaw County,2
NY,Unknown County,2
OR,Unknown County,2
MO,Franklin County,2
WA,Whatcom County,2
NC,Edgecombe County,2
GA,Effingham County,2
CA,El Dorado County,2
VA,Alexandria County,2
AR,Franklin County,2
UT,Iron County,2
TX,Starr County,2
IN,Jackson County,2
GA,Catoosa County,2
MN,Stearns County,2
FL,Jackson County,2
OK,Adair County,2
OK,Washington County,2
GA,Camden County,2
OR,Yamhill County,2
MS,Yalobusha County,2
MI,Jackson County,2
FL,Charlotte County,2
MI,Ingham County,2
AR,Independence County,2
VA,Danville County,2
MS,Tishomingo County,2
VA,Wythe County,2
PA,Washington County,2
IN,Huntington County,2
PA,Huntingdon County,2
MA,Bristol County,2
NC,Ashe County,2
OK,Carter County,2
TN,Carter County,2
KY,Jessamine County,2
MN,Carver County,2
GA,Spalding County,2
MN,Washington County,2
IN,Dearborn County,2
WI,Jefferson County,2
LA,Iberia Parish County,2
VA,Arlington County,2
VA,Bristol County,2
ID,Jefferson County,2
NY,Broome County,2
SC,Jasper County,2
AL,Washington County,2
ME,York County,2
WI,Jackson County,2
IN,Starke County,2
NC,Haywood County,2
NH,Sullivan County,2
KY,Warren County,2
TN,Sumner County,2
TX,Ward County,2
TX,Hunt County,2
SC,Sumter County,2
SC,Dillon County,2
CA,Sutter County,2
MI,Calhoun County,2
VA,Chesterfield County,2
VA,Harrisonburg County,2
WI,Walworth County,2
KY,Bullitt County,2
GA,Tattnall County,2
TX,Waller County,2
IL,Tazewell County,2
TX,Hardin County,2
GA,Thomas County,2
IN,Tippecanoe County,2
VA,Washington County,2
IN,Howard County,2
GA,Houston County,2
GA,Worth County,2
AL,Dale County,2
NY,Chemung County,2
TN,Cheatham County,2
VA,Chesapeake County,2
WI,Washington County,2
VA,Hopewell County,2
NC,Brunswick County,2
NJ,Warren County,2
FL,Holmes County,2
SC,Chester County,2
TX,Refugio County,1
TX,Real County,1
OH,Wayne County,1
IN,Washington County,1
TX,Red River County,1
WI,Waupaca County,1
TN,Marshall County,1
WA,Adams County,1
MO,Randolph County,1
MO,Washington County,1
KY,Wayne County,1
NY,Wayne County,1
SC,Richland County,1
WI,Waushara County,1
NE,Washington County,1
GA,Wayne County,1
MN,Watonwan County,1
PA,Adams County,1
NC,Watauga County,1
OH,Washington County,1
MO,Wright County,1
TX,Winkler County,1
VA,Wise County,1
KY,Wolfe County,1
OH,Wood County,1
TX,Wood County,1
MS,Pontotoc County,1
WI,Polk County,1
TX,Polk County,1
WI,Wood County,1
GA,Polk County,1
WV,Wood County,1
AR,Polk County,1
IA,Woodbury County,1
TX,Wilson County,1
AR,Poinsett County,1
WV,Pocahontas County,1
NC,Yadkin County,1
NC,Yancey County,1
ID,Adams County,1
MI,Bay County,1
MN,Pine County,1
NE,York County,1
NC,Beaufort County,1
SC,Beaufort County,1
SC,York County,1
VA,York County,1
NM,Socorro County,1
NM,Quay County,1
WV,Wayne County,1
VA,Waynesboro County,1
OH,Adams County,1
IN,Randolph County,1
GA,Randolph County,1
ND,Ramsey County,1
GA,Barrow County,1
IL,Adams County,1
LA,West Baton Rouge Parish County,1
GA,Wheeler County,1
GA,Rabun County,1
IN,White County,1
IL,Whiteside County,1
PA,Wayne County,1
KY,Whitley County,1
TX,Wilbarger County,1
MO,Barry County,1
MO,Barton County,1
OH,Williams County,1
SC,Williamsburg County,1
VA,Prince Edward County,1
KS,Pratt County,1
VA,Powhatan County,1
MO,Bates County,1
NC,Wilson County,1
IA,Pottawattamie County,1
KS,Pottawatomie County,1
MT,Sanders County,1
PA,Sullivan County,1
TN,Scott County,1
MN,Scott County,1
VA,Sussex County,1
AL,Tallapoosa County,1
MS,Tate County,1
WV,Taylor County,1
KS,Thomas County,1
PA,Tioga County,1
KY,Todd County,1
GA,Atkinson County,1
CT,Tolland County,1
IL,Sangamon County,1
NY,Tompkins County,1
UT,Tooele County,1
GA,Screven County,1
TX,San Patricio County,1
NM,San Miguel County,1
MT,Toole County,1
NC,Transylvania County,1
TX,Angelina County,1
KY,Trigg County,1
CA,Trinity County,1
TX,Trinity County,1
UT,San Juan County,1
CA,Tuolumne County,1
AL,Tuscaloosa County,1
OH,Tuscarawas County,1
SD,Aurora County,1
NY,Ulster County,1
LA,Union Parish County,1
GA,Stewart County,1
TX,Smith County,1
ME,Somerset County,1
PA,Somerset County,1
MS,Simpson County,1
MT,Silver Bow County,1
NM,Sierra County,1
VA,Spotsylvania County,1
VA,Stafford County,1
TX,Sherman County,1
ND,Stark County,1
NE,Sheridan County,1
TX,Shelby County,1
MN,Stevens County,1
WA,Stevens County,1
OH,Ashtabula County,1
TX,Austin County,1
MT,Stillwater County,1
KY,Shelby County,1
NC,Stokes County,1
AR,Stone County,1
MO,Stone County,1
MS,Stone County,1
OH,Seneca County,1
NH,Strafford County,1
ND,Stutsman County,1
OK,Seminole County,1
OH,Athens County,1
VA,Suffolk County,1
IN,Sullivan County,1
AR,Searcy County,1
WA,Walla Walla County,1
LA,Vermilion Parish County,1
IL,Vermilion County,1
WI,Rusk County,1
LA,Vernon Parish County,1
TX,Rusk County,1
TX,Runnels County,1
MO,Vernon County,1
KY,Rowan County,1
ND,Rolette County,1
TX,Victoria County,1
TX,Rockwall County,1
NY,Rockland County,1
NC,Rockingham County,1
TX,Walker County,1
GA,Rockdale County,1
LA,Sabine Parish County,1
KY,Rockcastle County,1
WI,Rock County,1
TN,Warren County,1
TN,Roane County,1
IN,Warrick County,1
OR,Wasco County,1
LA,Washington Parish County,1
AL,Barbour County,1
WV,Ritchie County,1
IN,Ripley County,1
MN,Aitkin County,1
IA,Washington County,1
KS,Riley County,1
KY,Barren County,1
LA,Saint Landry Parish County,1
AR,Union County,1
IA,Union County,1
IN,Union County,1
NC,Union County,1
CO,Baca County,1
FL,Baker County,1
KY,Anderson County,1
IN,Unknown County,1
KS,Unknown County,1
MD,Unknown County,1
ME,Unknown County,1
OH,Allen County,1
LA,Saint Mary Parish County,1
KY,Allen County,1
NY,Saint Lawrence County,1
NY,Richmond County,1
NC,Alleghany County,1
SC,Unknown County,1
MI,Saint Joseph County,1
MD,Allegany County,1
TX,Upshur County,1
LA,Saint Helena Parish County,1
WV,Upshur County,1
TX,Val Verde County,1
AK,Valdez-Cordova County,1
MI,Saint Clair County,1
OH,Van Wert County,1
NC,Vance County,1
LA,Saint Bernard Parish County,1
KS,Barber County,1
IL,Fulton County,1
LA,Franklin Parish County,1
GA,Franklin County,1
ID,Franklin County,1
IL,Franklin County,1
IN,Franklin County,1
NC,Franklin County,1
NY,Franklin County,1
NC,Cabarrus County,1
PA,Franklin County,1
VA,Fredericksburg County,1
MN,Freeborn County,1
WY,Fremont County,1
TX,Frio County,1
WI,Fond du Lac County,1
KY,Fulton County,1
NY,Fulton County,1
PA,Fulton County,1
FL,Gadsden County,1
TX,Gaines County,1
MO,Butler County,1
OK,Garfield County,1
AR,Garland County,1
KY,Garrard County,1
KS,Geary County,1
NY,Genesee County,1
MS,George County,1
UT,Emery County,1
OR,Douglas County,1
WA,Douglas County,1
UT,Duchesne County,1
NC,Duplin County,1
TX,Caldwell County,1
TN,Dyer County,1
CO,Eagle County,1
TX,Eastland County,1
MI,Eaton County,1
KY,Caldwell County,1
CA,Calaveras County,1
GA,Elbert County,1
IN,Gibson County,1
VA,Emporia County,1
AL,Escambia County,1
UT,Cache County,1
GA,Evans County,1
OH,Fairfield County,1
VA,Falls Church County,1
TN,Fentress County,1
MT,Fergus County,1
MN,Fillmore County,1
KS,Finney County,1
IN,Floyd County,1
TX,Foard County,1
TN,Hardin County,1
GA,Habersham County,1
TX,Hale County,1
IA,Hamilton County,1
NY,Hamilton County,1
NC,Burke County,1
MA,Hampden County,1
WV,Hampshire County,1
VA,Hampton County,1
MS,Hancock County,1
OH,Hancock County,1
WV,Hancock County,1
GA,Haralson County,1
TX,Hardeman County,1
IA,Guthrie County,1
KY,Harlan County,1
OR,Harney County,1
GA,Bulloch County,1
IN,Harrison County,1
TX,Harrison County,1
KY,Hart County,1
VA,Buckingham County,1
GA,Heard County,1
TN,Henderson County,1
TX,Henderson County,1
IN,Hendricks County,1
VA,Buchanan County,1
WI,Grant County,1
VA,Giles County,1
MI,Gladwin County,1
GA,Glynn County,1
TX,Gonzales County,1
VA,Goochland County,1
GA,Gordon County,1
AZ,Graham County,1
MT,Granite County,1
AR,Grant County,1
IN,Grant County,1
NM,Grant County,1
WA,Grant County,1
NV,Douglas County,1
WI,Green County,1
GA,Greene County,1
KS,Butler County,1
OH,Greene County,1
AZ,Greenlee County,1
TX,Burnet County,1
SC,Greenwood County,1
MS,Grenada County,1
OH,Guernsey County,1
NJ,Burlington County,1
FL,Gulf County,1
CO,Gunnison County,1
AL,Cleburne County,1
MN,Chisago County,1
KY,Christian County,1
MO,Christian County,1
LA,Claiborne Parish County,1
TN,Claiborne County,1
WA,Clallam County,1
KS,Clark County,1
WY,Carbon County,1
AR,Clay County,1
IN,Clay County,1
CO,Clear Creek County,1
PA,Clearfield County,1
ID,Clearwater County,1
WI,Chippewa County,1
IA,Clinton County,1
MS,Coahoma County,1
OK,Coal County,1
UT,Carbon County,1
TX,Cochran County,1
PA,Carbon County,1
GA,Coffee County,1
TN,Coffee County,1
NM,Colfax County,1
SC,Colleton County,1
VA,Colonial Heights County,1
GA,Colquitt County,1
MI,Charlevoix County,1
TX,Carson County,1
KY,Carter County,1
IN,Cass County,1
MN,Cass County,1
ND,Cass County,1
NE,Cass County,1
TX,Cass County,1
PA,Centre County,1
TX,Chambers County,1
IL,Champaign County,1
MD,Charles County,1
TN,Carroll County,1
AR,Columbia County,1
VA,Charlottesville County,1
MD,Carroll County,1
NY,Chautauqua County,1
WA,Chelan County,1
GA,Cherokee County,1
SC,Cherokee County,1
TX,Cherokee County,1
PA,Chester County,1
SC,Chesterfield County,1
NE,Cheyenne County,1
IA,Chickasaw County,1
TX,Childress County,1
OH,Delaware County,1
NC,Davie County,1
SD,Davison County,1
NM,De Baca County,1
IL,De Witt County,1
PA,Cambria County,1
MO,DeKalb County,1
TN,DeKalb County,1
TX,Deaf Smith County,1
GA,Decatur County,1
TN,Decatur County,1
OH,Defiance County,1
CA,Del Norte County,1
MO,Dallas County,1
KY,Calloway County,1
MO,Callaway County,1
NE,Deuel County,1
OK,Dewey County,1
TN,Dickson County,1
FL,Dixie County,1
WI,Dodge County,1
SC,Dorchester County,1
GA,Dougherty County,1
IL,Douglas County,1
KS,Douglas County,1
GA,Calhoun County,1
NC,Craven County,1
GA,Columbia County,1
PA,Columbia County,1
WI,Columbia County,1
GA,Cook County,1
TX,Cooke County,1
NH,Coos County,1
MS,Copiah County,1
SD,Corson County,1
AL,Covington County,1
GA,Coweta County,1
KS,Cowley County,1
OK,Craig County,1
AL,Henry County,1
IN,Crawford County,1
MO,Crawford County,1
OH,Crawford County,1
AL,Cullman County,1
TN,Cumberland County,1
NM,Curry County,1
NE,Custer County,1
MO,Dade County,1
NE,Dakota County,1
TX,Dallam County,1
AL,Dallas County,1
AR,Dallas County,1
WI,Monroe County,1
KY,Metcalfe County,1
CT,Middlesex County,1
MI,Midland County,1
PA,Mifflin County,1
MN,Mille Lacs County,1
MT,Big Horn County,1
MT,Mineral County,1
WV,Mineral County,1
NC,Mitchell County,1
CO,Moffat County,1
AL,Monroe County,1
IL,Monroe County,1
IN,Monroe County,1
GA,Meriwether County,1
MI,Montcalm County,1
MA,Berkshire County,1
CO,Montezuma County,1
AR,Montgomery County,1
IL,Montgomery County,1
IN,Montgomery County,1
VA,Montgomery County,1
CO,Montrose County,1
TX,Moore County,1
LA,Morehouse Parish County,1
CO,Morgan County,1
ND,Morton County,1
OK,McIntosh County,1
KS,Marion County,1
TN,Marion County,1
KY,Martin County,1
MN,Martin County,1
VA,Martinsville County,1
HI,Maui County,1
OK,Mayes County,1
OK,McClain County,1
NC,McDowell County,1
WV,McDowell County,1
IL,McHenry County,1
GA,McIntosh County,1
MN,Mower County,1
MN,McLeod County,1
TN,McMinn County,1
TN,McNairy County,1
KS,McPherson County,1
WV,Mcdowell County,1
TX,Mclennan County,1
