State,County,HispanicPerc
MS,Tallahatchie County,6.2
TN,Robertson County,6.2
CO,Park County,6.2
PA,Lackawanna County,6.2
ND,Mountrail County,6.2
MN,Faribault County,6.2
WI,Dane County,6.2
GA,Columbia County,6.2
CO,Teller County,6.2
NJ,Hunterdon County,6.2
FL,Leon County,6.1
IN,LaPorte County,6.1
OK,Dewey County,6.1
OK,Adair County,6.1
GA,Cook County,6.1
OH,Huron County,6.1
FL,Saint Johns County,6.1
FL,Walton County,6.1
SC,Horry County,6.1
VA,Westmoreland County,6.1
AL,Dale County,6.1
SC,Berkeley County,6.1
AR,Pulaski County,6
GA,Montgomery County,6
WI,Sheboygan County,6
AL,Shelby County,6
MO,Buchanan County,6
VA,Rockingham County,6
TN,Shelby County,6
KY,Graves County,6
AK,Sitka City and Borough,6
NH,Hillsborough County,6
WA,Skamania County,6
OR,Coos County,6
GA,Chatham County,6
MI,Newaygo County,5.9
LA,St. Charles Parish,5.9
WA,San Juan County,5.9
IN,Jasper County,5.9
OH,Putnam County,5.9
MN,Polk County,5.9
AR,Independence County,5.9
PA,Forest County,5.9
KS,Ellsworth County,5.9
NC,Rockingham County,5.9
IN,Newton County,5.9
NC,Pitt County,5.9
FL,Calhoun County,5.8
ID,Butte County,5.8
IL,Lee County,5.8
TN,Putnam County,5.8
WY,Park County,5.8
AL,Limestone County,5.8
VA,York County,5.8
NC,Wilkes County,5.8
SC,Lexington County,5.8
SC,Greenwood County,5.8
CT,Middlesex County,5.8
NC,Burke County,5.8
KS,Douglas County,5.8
WA,Clallam County,5.8
NJ,Gloucester County,5.7
KY,Hardin County,5.7
MI,Gratiot County,5.7
PA,Union County,5.7
IL,Champaign County,5.7
MN,Chippewa County,5.7
MN,Le Sueur County,5.7
MI,Wayne County,5.7
FL,Bay County,5.7
MO,Platte County,5.7
SC,Edgefield County,5.7
MN,Waseca County,5.7
OK,Washington County,5.7
NY,Albany County,5.7
OK,Muskogee County,5.7
KS,Ellis County,5.7
IA,Allamakee County,5.7
VA,Albemarle County,5.7
GA,Paulding County,5.7
OK,Murray County,5.6
WA,Whitman County,5.6
OK,Wagoner County,5.6
UT,Garfield County,5.6
FL,Sumter County,5.6
FL,Columbia County,5.6
OK,Logan County,5.6
MS,Yazoo County,5.6
GA,Brooks County,5.6
MT,Big Horn County,5.6
TN,Sevier County,5.6
IL,Knox County,5.6
GA,Decatur County,5.6
IA,Washington County,5.6
AR,Chicot County,5.6
NE,Wayne County,5.6
NC,Polk County,5.6
TX,Hardin County,5.6
MS,Calhoun County,5.6
AK,Petersburg Borough,5.6
VA,Emporia,5.5
GA,Lowndes County,5.5
WV,Jefferson County,5.5
OK,Bryan County,5.5
OK,McCurtain County,5.5
IA,Johnson County,5.5
TN,Bradley County,5.5
FL,Escambia County,5.5
MO,Taney County,5.5
CT,Litchfield County,5.5
NY,Greene County,5.5
MN,Todd County,5.5
VA,James City County,5.5
LA,Orleans Parish,5.5
MS,Jackson County,5.5
GA,Lanier County,5.5
NE,Deuel County,5.5
CO,Clear Creek County,5.5
CO,Ouray County,5.5
NC,McDowell County,5.5
GA,Elbert County,5.5
OH,Cuyahoga County,5.4
IN,Benton County,5.4
AR,Madison County,5.4
GA,Wheeler County,5.4
IL,Henry County,5.4
MS,Harrison County,5.4
LA,St. John the Baptist Parish,5.4
NE,Kearney County,5.4
VA,Henry County,5.4
LA,St. Tammany Parish,5.4
KS,Thomas County,5.4
MN,McLeod County,5.4
IA,Hamilton County,5.4
SC,Aiken County,5.4
TX,Clay County,5.4
OH,Mahoning County,5.4
VA,Henrico County,5.4
NC,New Hanover County,5.4
MD,Charles County,5.3
RI,Newport County,5.3
NC,Ashe County,5.3
OH,Wood County,5.3
CO,Custer County,5.3
AR,Garland County,5.3
OK,Ottawa County,5.3
MA,Hampshire County,5.3
VA,Hampton,5.3
GA,Sumter County,5.3
NY,Oneida County,5.3
FL,Union County,5.3
NE,Phelps County,5.3
VA,Chesapeake,5.3
MI,Muskegon County,5.3
WI,Menominee County,5.3
MI,Eaton County,5.3
TN,Maury County,5.3
KS,Norton County,5.3
ID,Caribou County,5.3
OK,Grady County,5.3
VA,Colonial Heights,5.3
ND,Williams County,5.2
WA,Spokane County,5.2
FL,Santa Rosa County,5.2
KS,Neosho County,5.2
IN,Clark County,5.2
MT,Yellowstone County,5.2
OR,Wheeler County,5.2
KS,Pottawatomie County,5.2
LA,Ascension Parish,5.2
AR,Ashley County,5.2
FL,Gilchrist County,5.2
OR,Douglas County,5.2
KS,Sumner County,5.2
MD,Wicomico County,5.2
FL,Citrus County,5.2
NC,Jackson County,5.1
KY,Gallatin County,5.1
GA,Jenkins County,5.1
GA,Pierce County,5.1
IL,Union County,5.1
CO,Dolores County,5.1
AK,Hoonah-Angoon Census Area,5.1
KS,Crawford County,5.1
UT,San Juan County,5.1
KY,Warren County,5.1
NY,Erie County,5.1
FL,Franklin County,5.1
SC,Charleston County,5.1
NE,Red Willow County,5.1
MI,Berrien County,5.1
SC,Richland County,5.1
OH,Franklin County,5.1
TN,Hamilton County,5.1
IN,Fulton County,5.1
NE,Arthur County,5.1
ND,Ward County,5.1
MI,Bay County,5
TN,Macon County,5
FL,Madison County,5
OH,Hancock County,5
PA,Franklin County,5
MN,Pipestone County,5
VA,Greene County,5
AL,Russell County,5
SC,Lancaster County,5
TN,Marshall County,5
OK,Alfalfa County,5
FL,Gulf County,5
KS,Comanche County,5
CT,Tolland County,5
SC,York County,5
GA,Berrien County,5
MO,Newton County,5
NC,Caldwell County,5
VA,Charlottesville,4.9
AK,Southeast Fairbanks Census Area,4.9
AK,Ketchikan Gateway Borough,4.9
KS,Logan County,4.9
MS,DeSoto County,4.9
SD,Pennington County,4.9
MN,Norman County,4.9
SC,Dorchester County,4.9
NC,Yancey County,4.9
ND,Stark County,4.9
UT,Sevier County,4.9
OR,Harney County,4.9
NE,York County,4.9
NC,Columbus County,4.9
OK,Pottawatomie County,4.9
PA,Bucks County,4.9
OH,Ottawa County,4.9
SD,Jerauld County,4.9
GA,Newton County,4.9
SD,Minnehaha County,4.9
GA,Lumpkin County,4.9
MN,Dodge County,4.9
LA,Terrebonne Parish,4.9
WI,Sauk County,4.9
WI,Fond du Lac County,4.9
MD,Baltimore County,4.87112
NE,Sioux County,4.8
AR,Desha County,4.8
IL,McLean County,4.8
GA,Chattooga County,4.8
MS,Tippah County,4.8
UT,Wayne County,4.8
FL,Jackson County,4.8
SC,Oconee County,4.8
KS,Rawlins County,4.8
NC,Brunswick County,4.8
GA,Baker County,4.8
MI,Calhoun County,4.8
VA,Martinsville,4.8
MN,Scott County,4.8
PA,Montgomery County,4.8
KY,Jefferson County,4.8
WY,Johnson County,4.8
NE,Stanton County,4.8
NC,Washington County,4.8
OK,Pontotoc County,4.8
MT,Richland County,4.8
OH,Seneca County,4.8
MI,Ionia County,4.7
AK,Valdez-Cordova Census Area,4.7
LA,Grant Parish,4.7
GA,Madison County,4.7
NC,Pasquotank County,4.7
TN,Williamson County,4.7
AL,Madison County,4.7
MI,Kalamazoo County,4.7
NY,Tompkins County,4.7
IL,Putnam County,4.7
AR,Craighead County,4.7
GA,Calhoun County,4.7
OK,Hughes County,4.7
KY,Webster County,4.7
ND,Bowman County,4.7
NC,Avery County,4.7
NY,Orleans County,4.7
NC,Swain County,4.7
IL,Vermilion County,4.7
IA,Henry County,4.7
AK,Matanuska-Susitna Borough,4.7
KS,Jackson County,4.7
UT,Juab County,4.7
MD,Saint Mary's County,4.7
WI,Dodge County,4.6
NC,Mitchell County,4.6
GA,Richmond County,4.6
OK,Johnston County,4.6
WI,Green Lake County,4.6
NY,Onondaga County,4.6
WI,Waukesha County,4.6
OR,Columbia County,4.6
MS,Union County,4.6
NE,Webster County,4.6
OK,Pittsburg County,4.6
MD,Dorchester County,4.6
LA,Lafourche Parish,4.6
IL,Peoria County,4.6
UT,Rich County,4.6
GA,Oconee County,4.6
GA,Emanuel County,4.6
AL,Baldwin County,4.6
MI,Mason County,4.6
NE,Sheridan County,4.6
MO,Moniteau County,4.6
IN,Daviess County,4.6
OK,Seminole County,4.5
GA,Spalding County,4.5
LA,Lafayette Parish,4.5
IL,Livingston County,4.5
OR,Union County,4.5
WY,Lincoln County,4.5
NY,Columbia County,4.5
MN,Olmsted County,4.5
MI,Lapeer County,4.5
UT,Kane County,4.5
AL,Barbour County,4.5
KS,Dickinson County,4.5
OH,Paulding County,4.5
IN,Montgomery County,4.5
WA,Garfield County,4.5
GA,Turner County,4.5
OH,Butler County,4.5
NY,Rensselaer County,4.5
TN,Rhea County,4.5
IA,O'Brien County,4.5
OK,Payne County,4.5
NE,Garden County,4.5
NE,Thurston County,4.5
KS,Butler County,4.5
NC,Jones County,4.4
ID,Valley County,4.4
GA,Schley County,4.4
VA,Clarke County,4.4
TN,Unicoi County,4.4
KS,Morris County,4.4
SC,Laurens County,4.4
KS,Labette County,4.4
NC,Alexander County,4.4
IN,Adams County,4.4
SD,Aurora County,4.4
MI,Washtenaw County,4.4
CO,Mineral County,4.4
AR,Saint Francis County,4.4
VA,King George County,4.4
AL,Cullman County,4.4
TN,Sumner County,4.4
LA,Union Parish,4.4
MI,Clinton County,4.4
AR,Clark County,4.4
VA,Petersburg,4.4
VA,Roanoke County,4.34673
OK,Grant County,4.3
ID,Kootenai County,4.3
GA,Franklin County,4.3
KY,Meade County,4.3
MS,Jones County,4.3
NY,Ontario County,4.3
AK,Bristol Bay Borough,4.3
NE,Dawes County,4.3
IA,Cerro Gordo County,4.3
TX,Cass County,4.3
VA,Orange County,4.3
MN,Clay County,4.3
MI,Branch County,4.3
GA,Mitchell County,4.3
MO,Cass County,4.3
NC,Carteret County,4.3
IA,Webster County,4.3
AK,Skagway Municipality,4.3
MD,Washington County,4.3
MD,Kent County,4.3
TX,Sabine County,4.3
GA,Clinch County,4.2
VA,Caroline County,4.2
KY,Scott County,4.2
MT,Silver Bow County,4.2
TN,Haywood County,4.2
OK,Rogers County,4.2
SC,Kershaw County,4.2
MN,Nicollet County,4.2
VA,Lunenburg County,4.2
MN,Stevens County,4.2
AR,White County,4.2
NC,Person County,4.2
IL,Jackson County,4.2
WY,Sheridan County,4.2
RI,Kent County,4.2
ID,Boundary County,4.2
UT,Daggett County,4.2
WI,Clark County,4.2
GA,Jasper County,4.2
MD,Harford County,4.2
MS,Leake County,4.2
PA,Wayne County,4.2
WY,Weston County,4.2
WA,Ferry County,4.2
NC,Edgecombe County,4.2
IA,Black Hawk County,4.2
MN,Yellow Medicine County,4.2
AR,Saline County,4.2
ID,Bear Lake County,4.2
GA,Wilcox County,4.1
KY,Todd County,4.1
MD,Cecil County,4.1
MN,Carver County,4.1
MA,Berkshire County,4.1
WI,Outagamie County,4.1
ID,Latah County,4.1
TX,Marion County,4.1
AR,Faulkner County,4.1
MT,Lake County,4.1
GA,Macon County,4.1
SC,Cherokee County,4.1
MI,Leelanau County,4.1
ID,Oneida County,4.1
FL,Jefferson County,4.1
VA,Warren County,4.1
IN,Carroll County,4.1
PA,Carbon County,4.1
IA,Hardin County,4.1
MT,Golden Valley County,4.1
AL,Pickens County,4.1
NE,Banner County,4.1
OH,Williams County,4.1
NE,Gosper County,4.1
IA,Plymouth County,4.1
ID,Custer County,4.1
MT,Rosebud County,4.1
MN,Marshall County,4.1
NC,Rutherford County,4.1
MT,Cascade County,4.1
SD,Meade County,4.1
OH,Lake County,4
ID,Lewis County,4
KY,Boone County,4
TN,Coffee County,4
KY,Butler County,4
MO,Johnson County,4
MN,Anoka County,4
FL,Taylor County,4
VA,Nottoway County,4
KS,Greenwood County,4
WI,Monroe County,4
AR,Mississippi County,4
OK,Okfuskee County,4
IA,Humboldt County,4
WY,Hot Springs County,4
IN,Grant County,4
GA,Dawson County,4
KS,Chase County,4
VA,Portsmouth,4
OH,Erie County,4
AK,Kenai Peninsula Borough,4
AR,Conway County,4
WI,Calumet County,4
MN,Swift County,4
OK,Haskell County,4
MA,Norfolk County,4
AR,Lonoke County,4
GA,Taliaferro County,4
NE,Merrick County,4
NY,Wayne County,4
NC,Warren County,4
SD,Corson County,3.9
TN,Monroe County,3.9
OR,Baker County,3.9
NE,Fillmore County,3.9
OK,Coal County,3.9
LA,Iberia Parish,3.9
WI,Winnebago County,3.9
ND,Divide County,3.9
SC,Chesterfield County,3.9
NC,Stanly County,3.9
MS,Chickasaw County,3.9
SC,Hampton County,3.9
NE,Holt County,3.9
IA,Winnebago County,3.9
GA,Oglethorpe County,3.9
AK,North Slope Borough,3.9
AR,Calhoun County,3.9
NY,Broome County,3.9
WV,Berkeley County,3.9
WI,Adams County,3.9
LA,Tangipahoa Parish,3.9
GA,Wilkes County,3.9
GA,Walton County,3.9
IN,LaGrange County,3.9
KS,Franklin County,3.9
AL,Lee County,3.9
LA,East Baton Rouge Parish,3.9
TN,Knox County,3.9
IN,Shelby County,3.9
WI,Lafayette County,3.8
ND,Grand Forks County,3.8
NE,Hayes County,3.8
ND,Dunn County,3.8
KS,Sheridan County,3.8
KS,Elk County,3.8
TN,Obion County,3.8
FL,Nassau County,3.8
VA,Lexington,3.8
KS,Brown County,3.8
MO,St. Louis,3.8
FL,Bradford County,3.8
NC,Hertford County,3.8
ND,Sioux County,3.8
IN,Hamilton County,3.8
MN,Martin County,3.8
FL,Wakulla County,3.8
KS,McPherson County,3.8
MN,Washington County,3.8
KY,Washington County,3.8
PA,Erie County,3.8
LA,Sabine Parish,3.8
OH,Ashtabula County,3.8
AL,Jefferson County,3.8
OK,Sequoyah County,3.8
NE,Polk County,3.8
KY,Oldham County,3.8
MA,Franklin County,3.8
IL,Saint Clair County,3.8
ND,Kidder County,3.8
MI,Oakland County,3.8
SC,Sumter County,3.8
NY,Delaware County,3.7
SD,Todd County,3.7
AK,Denali Borough,3.7
IN,Madison County,3.7
WA,Jefferson County,3.7
SD,Moody County,3.7
FL,Dixie County,3.7
GA,Effingham County,3.7
GA,Ware County,3.7
OK,Choctaw County,3.7
GA,Troup County,3.7
NC,Currituck County,3.7
VA,Suffolk,3.7
MT,Beaverhead County,3.7
OK,Creek County,3.7
SD,Fall River County,3.7
MI,Sanilac County,3.7
GA,Webster County,3.7
MD,Somerset County,3.7
SD,Shannon County,3.7
ID,Nez Perce County,3.7
LA,Cameron Parish,3.7
ND,Pembina County,3.7
IL,Lawrence County,3.7
MI,Isabella County,3.7
SD,Butte County,3.7
OK,Okmulgee County,3.7
SD,Ziebach County,3.7
AL,Etowah County,3.7
CO,Hinsdale County,3.7
NC,Haywood County,3.7
MN,Brown County,3.7
NE,Perkins County,3.7
TN,Wilson County,3.7
GA,Bulloch County,3.7
KS,Barber County,3.6
AR,Lincoln County,3.6
LA,Beauregard Parish,3.6
MS,Hancock County,3.6
GA,Hart County,3.6
NC,Martin County,3.6
PA,Schuylkill County,3.6
TN,Madison County,3.6
AL,Geneva County,3.6
MA,Plymouth County,3.6
WA,Asotin County,3.6
VA,Northumberland County,3.6
ID,Clearwater County,3.6
TX,Newton County,3.6
NC,Caswell County,3.6
AR,Montgomery County,3.6
OK,Atoka County,3.6
MN,Murray County,3.6
VA,Essex County,3.6
KY,Russell County,3.6
GA,Irwin County,3.6
AR,Union County,3.6
ID,Boise County,3.6
WA,Pend Oreille County,3.6
WV,Hardy County,3.6
IN,Hendricks County,3.5
WI,Manitowoc County,3.5
WA,Stevens County,3.5
NC,Anson County,3.5
IA,Hancock County,3.5
NC,Pamlico County,3.5
FL,Washington County,3.5
MI,Cass County,3.5
IL,Bond County,3.5
MO,Greene County,3.5
TN,Jefferson County,3.5
KY,Trimble County,3.5
SD,Buffalo County,3.5
PA,Delaware County,3.5
AL,Calhoun County,3.5
MD,Worcester County,3.5
LA,Livingston Parish,3.5
GA,Charlton County,3.5
MD,Calvert County,3.5
IL,Stephenson County,3.5
KS,Cloud County,3.5
VA,Nelson County,3.5
NY,Otsego County,3.5
SC,Anderson County,3.5
NC,Watauga County,3.5
SD,Dewey County,3.5
IA,Montgomery County,3.5
OK,Delaware County,3.5
GA,Pulaski County,3.5
ID,Shoshone County,3.4
WA,Wahkiakum County,3.4
GA,Thomas County,3.4
IA,Lee County,3.4
PA,Cumberland County,3.4
ND,Dickey County,3.4
IL,Logan County,3.4
IL,Carroll County,3.4
KS,Wabaunsee County,3.4
MN,Pennington County,3.4
GA,Dodge County,3.4
TN,Sequatchie County,3.4
VA,Danville,3.4
IN,Starke County,3.4
MI,Jackson County,3.4
AL,Clay County,3.4
MI,Monroe County,3.4
VA,Rappahannock County,3.4
MI,Montcalm County,3.4
OK,Latimer County,3.4
AL,Montgomery County,3.4
NY,Livingston County,3.4
MT,Musselshell County,3.4
IN,Johnson County,3.4
OR,Grant County,3.4
MN,Meeker County,3.4
KS,Washington County,3.4
SC,Pickens County,3.4
MD,Queen Anne's County,3.4
SD,Bennett County,3.4
IA,Pocahontas County,3.4
AR,Nevada County,3.3
GA,Harris County,3.3
KS,Rush County,3.3
ID,Benewah County,3.3
OK,Noble County,3.3
SD,Jackson County,3.3
VA,Gloucester County,3.3
MT,Hill County,3.3
NY,Franklin County,3.3
MN,Jackson County,3.3
AK,Prince of Wales-Hyder Census Area,3.3
TN,McMinn County,3.3
NE,Hitchcock County,3.3
IL,Marshall County,3.3
WI,Jackson County,3.3
AL,Houston County,3.3
KY,Ohio County,3.3
KS,Allen County,3.3
IL,Johnson County,3.3
IN,Monroe County,3.3
VA,Lynchburg,3.3
OK,Osage County,3.3
SD,Hamlin County,3.3
NE,Jefferson County,3.3
AL,Tuscaloosa County,3.3
AR,Hot Spring County,3.3
VA,Norton,3.3
GA,Jefferson County,3.3
TN,Washington County,3.3
SD,Yankton County,3.3
AK,Yakutat City and Borough,3.3
MI,Tuscola County,3.3
MS,Marshall County,3.3
MT,Stillwater County,3.3
MT,Ravalli County,3.3
MN,Blue Earth County,3.2
IA,Clay County,3.2
KY,Martin County,3.2
GA,Crisp County,3.2
OK,Mayes County,3.2
MS,Forrest County,3.2
IA,Cherokee County,3.2
GA,Bibb County,3.2
SD,Union County,3.2
SC,Marlboro County,3.2
VA,Fluvanna County,3.2
ID,Adams County,3.2
NC,Transylvania County,3.2
LA,Vermilion Parish,3.2
VA,Salem,3.2
IN,Randolph County,3.2
NY,Wyoming County,3.2
KY,Henry County,3.2
IN,Steuben County,3.2
MO,Boone County,3.2
VA,Radford,3.2
MO,Warren County,3.2
NE,Furnas County,3.2
MI,Saint Clair County,3.2
OK,Craig County,3.2
OK,Pushmataha County,3.2
NC,Chowan County,3.2
MN,Mahnomen County,3.2
SC,Georgetown County,3.2
ND,Traill County,3.2
MI,Genesee County,3.2
SD,Lawrence County,3.2
AK,Lake and Peninsula Borough,3.2
SC,Calhoun County,3.2
KS,Marion County,3.2
KS,Graham County,3.2
NC,Graham County,3.2
GA,Union County,3.1
TN,Lincoln County,3.1
IL,Jo Daviess County,3.1
GA,Crawford County,3.1
NE,Cass County,3.1
MN,Goodhue County,3.1
AR,Little River County,3.1
KS,Miami County,3.1
MN,Stearns County,3.1
OH,Clark County,3.1
IL,Clinton County,3.1
PA,Northumberland County,3.1
KS,Kingman County,3.1
VA,King and Queen County,3.1
PA,Juniata County,3.1
LA,West Carroll Parish,3.1
SC,Colleton County,3.1
GA,Pickens County,3.1
KY,Monroe County,3.1
ND,Eddy County,3.1
AR,Van Buren County,3.1
MT,Missoula County,3.1
MT,Gallatin County,3.1
NY,Schoharie County,3.1
KS,Ottawa County,3.1
OK,Lincoln County,3.1
WA,Lincoln County,3.1
VA,Amelia County,3.1
TN,Dickson County,3.1
MS,Alcorn County,3.1
MO,Saint Charles County,3.1
KY,Larue County,3.1
GA,Butts County,3.1
IL,Madison County,3.1
IN,Howard County,3.1
MN,Otter Tail County,3.1
ID,Idaho County,3.1
IA,Story County,3.1
AK,Dillingham Census Area,3.1
AR,Miller County,3.1
NC,Cleveland County,3.1
MT,Deer Lodge County,3.1
NY,Seneca County,3.1
MA,Dukes County,3.1
SD,Deuel County,3.1
NY,Essex County,3.1
IL,Perry County,3.1
VA,Carroll County,3.1
TN,Dyer County,3.1
ID,Lemhi County,3.1
LA,Calcasieu Parish,3.1
GA,Burke County,3
ND,Slope County,3
WI,Waupaca County,3
WI,Washington County,3
SC,Clarendon County,3
NC,Clay County,3
MN,Wabasha County,3
MI,Manistee County,3
MT,Toole County,3
SD,Mellette County,3
TN,Blount County,3
IN,Jay County,3
KS,Chautauqua County,3
TN,Trousdale County,3
KY,Barren County,3
IA,Poweshiek County,3
MT,Custer County,3
VA,Grayson County,3
VA,Montgomery County,3
AR,Franklin County,3
KY,Boyle County,3
SD,Custer County,3
SD,McCook County,3
WI,Portage County,3
NE,Antelope County,3
MN,Red Lake County,3
GA,Stephens County,3
KY,Franklin County,3
MS,Pearl River County,3
NY,Genesee County,3
KS,Phillips County,3
RI,Washington County,3
AR,Arkansas County,3
MT,Lewis and Clark County,3
MD,Carroll County,3
GA,Morgan County,3
AR,Drew County,2.9
MN,Pine County,2.9
NY,Saratoga County,2.9
WI,Juneau County,2.9
KS,Atchison County,2.9
ND,Sargent County,2.9
GA,Seminole County,2.9
IA,Des Moines County,2.9
IN,Floyd County,2.9
AL,Jackson County,2.9
NY,Chemung County,2.9
AR,Jackson County,2.9
WI,Marquette County,2.9
KY,Jessamine County,2.9
MI,Shiawassee County,2.9
IL,Ford County,2.9
KY,Kenton County,2.9
GA,White County,2.9
IA,Clinton County,2.9
LA,Caldwell Parish,2.9
OH,Hamilton County,2.9
WI,Green County,2.9
NC,Scotland County,2.9
PA,Centre County,2.9
AL,Randolph County,2.9
PA,Clearfield County,2.9
IN,Pulaski County,2.9
IA,Jefferson County,2.9
WI,Columbia County,2.9
AL,Winston County,2.9
KY,Casey County,2.9
IA,Greene County,2.9
ID,Bonner County,2.9
MT,Madison County,2.9
NC,Stokes County,2.9
VA,Dinwiddie County,2.9
SC,Allendale County,2.9
IA,Linn County,2.9
GA,Treutlen County,2.9
TN,Decatur County,2.9
MN,Redwood County,2.9
IA,Page County,2.9
NE,Hamilton County,2.9
MO,Christian County,2.9
AR,Perry County,2.8
AL,Mobile County,2.8
IA,Sac County,2.8
VA,Patrick County,2.8
IA,Union County,2.8
OH,Allen County,2.8
GA,Catoosa County,2.8
LA,Rapides Parish,2.8
VA,Staunton,2.8
KY,Clinton County,2.8
NY,Clinton County,2.8
TN,Franklin County,2.8
KY,Logan County,2.8
MS,Copiah County,2.8
TN,Greene County,2.8
LA,Caddo Parish,2.8
MT,Lincoln County,2.8
KY,Clark County,2.8
SD,Grant County,2.8
VA,Floyd County,2.8
GA,McDuffie County,2.8
LA,De Soto Parish,2.8
OH,Van Wert County,2.8
KS,Doniphan County,2.8
KS,Wilson County,2.8
KS,Coffey County,2.8
NE,Butler County,2.8
NY,Cayuga County,2.8
NE,Cherry County,2.8
KY,Daviess County,2.8
MT,Mineral County,2.8
MS,Madison County,2.8
IN,Spencer County,2.8
VA,Charlotte County,2.8
SD,Clark County,2.8
SD,Hughes County,2.8
VA,Sussex County,2.8
NY,Fulton County,2.8
IL,Randolph County,2.8
MT,Park County,2.8
SD,Clay County,2.8
IN,Miami County,2.8
OR,Wallowa County,2.8
NC,Cherokee County,2.8
MI,Grand Traverse County,2.7
TN,Cumberland County,2.7
MT,Flathead County,2.7
ND,Golden Valley County,2.7
TN,Cheatham County,2.7
AR,Dallas County,2.7
MT,Dawson County,2.7
IL,McDonough County,2.7
TN,Grainger County,2.7
MN,Winona County,2.7
SC,Marion County,2.7
AR,Logan County,2.7
AL,Autauga County,2.7
UT,Morgan County,2.7
WI,Door County,2.7
MN,Wright County,2.7
ND,Morton County,2.7
OK,Nowata County,2.7
OH,Wyandot County,2.7
IA,Worth County,2.7
MO,Cole County,2.7
AL,Elmore County,2.7
AR,Columbia County,2.7
VA,Mecklenburg County,2.7
WI,Ozaukee County,2.7
IA,Lyon County,2.7
NC,Halifax County,2.7
KY,Wayne County,2.7
NC,Madison County,2.7
ND,Richland County,2.7
MT,Glacier County,2.7
IN,Wayne County,2.7
IN,DeKalb County,2.7
OH,Greene County,2.7
KS,Gove County,2.7
AR,Greene County,2.7
MT,Treasure County,2.7
VA,Isle of Wight County,2.7
KS,Osage County,2.7
GA,Wilkinson County,2.7
MO,Saint Louis County,2.7
FL,Holmes County,2.7
AR,Lee County,2.7
AR,Poinsett County,2.7
MA,Barnstable County,2.7
IL,Fulton County,2.7
LA,Lincoln Parish,2.7
NE,Burt County,2.7
LA,West Baton Rouge Parish,2.7
WI,Wood County,2.7
OK,Pawnee County,2.7
KS,Woodson County,2.7
VA,Franklin County,2.64744
WY,Niobrara County,2.6
GA,Dougherty County,2.6
AL,Henry County,2.6
LA,Iberville Parish,2.6
OH,Warren County,2.6
VA,Hanover County,2.6
IA,Decatur County,2.6
IN,Boone County,2.6
KY,Montgomery County,2.6
IA,Mills County,2.6
NC,Camden County,2.6
AL,Colbert County,2.6
MO,Adair County,2.6
AR,Cleburne County,2.6
MO,Audrain County,2.6
NE,Custer County,2.6
PA,Columbia County,2.6
MI,Missaukee County,2.6
VA,New Kent County,2.6
MO,Lafayette County,2.6
IN,Tipton County,2.6
IN,Vigo County,2.6
MS,Rankin County,2.6
MS,Tishomingo County,2.6
WI,Shawano County,2.6
GA,Terrell County,2.6
IA,Fremont County,2.6
GA,Lee County,2.6
NY,Niagara County,2.6
KS,Jefferson County,2.6
WI,Marathon County,2.6
IL,Massac County,2.6
NH,Rockingham County,2.6
AR,Grant County,2.6
WY,Crook County,2.6
NY,Cortland County,2.6
ND,McHenry County,2.6
TN,Smith County,2.6
KS,Clay County,2.6
GA,Towns County,2.6
GA,Bleckley County,2.6
KY,Calloway County,2.6
IN,Fountain County,2.6
NE,Knox County,2.6
OH,Montgomery County,2.6
LA,Assumption Parish,2.6
MI,Barry County,2.6
VA,Augusta County,2.5
MI,Lake County,2.5
MO,Camden County,2.5
NY,Washington County,2.5
NE,Washington County,2.5
AK,Haines Borough,2.5
GA,Upson County,2.5
TN,Gibson County,2.5
OK,McIntosh County,2.5
VA,Covington,2.5
MI,Midland County,2.5
IN,Vanderburgh County,2.5
AL,Marion County,2.5
IA,Warren County,2.5
MI,Macomb County,2.5
ND,Ramsey County,2.5
TN,Fayette County,2.5
GA,Laurens County,2.5
MT,Broadwater County,2.5
MT,Sanders County,2.5
KY,Grant County,2.5
ND,Oliver County,2.5
NE,Nuckolls County,2.5
MO,Phelps County,2.5
VA,Prince Edward County,2.5
SC,Dillon County,2.5
LA,Pointe Coupee Parish,2.5
MT,Wibaux County,2.5
SC,Barnwell County,2.5
MS,Tate County,2.5
VA,King William County,2.5
MO,Barton County,2.5
IA,Iowa County,2.5
ND,Mercer County,2.5
KY,Mercer County,2.5
LA,La Salle Parish,2.5
MN,Rock County,2.5
MS,Benton County,2.5
MS,Humphreys County,2.5
KS,Rooks County,2.5
MT,Roosevelt County,2.5
KS,Russell County,2.5
TN,Anderson County,2.5
MS,Lamar County,2.5
TN,Stewart County,2.5
VA,Louisa County,2.5
VA,Buena Vista,2.5
TN,Chester County,2.5
SD,Charles Mix County,2.5
LA,St. Martin Parish,2.5
SD,Brookings County,2.5
GA,Heard County,2.5
IN,Wells County,2.5
MS,Leflore County,2.5
SD,Brown County,2.5
MS,Lee County,2.5
MN,Sherburne County,2.5
IN,Jefferson County,2.5
NE,Nemaha County,2.5
AL,Cleburne County,2.5
LA,Evangeline Parish,2.5
TN,Tipton County,2.5
VA,Pittsylvania County,2.4
IA,Boone County,2.4
AL,Lauderdale County,2.4
KY,Carlisle County,2.4
NE,Howard County,2.4
KY,Marion County,2.4
OH,Delaware County,2.4
VA,Cumberland County,2.4
VA,Goochland County,2.4
IL,Williamson County,2.4
IA,Monroe County,2.4
WI,Richland County,2.4
SD,Sully County,2.4
